"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ashis\edwise\frontend\components\live-lecture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 11, 14, 295
"c:\Users\ashis\edwise\frontend\components\magicui\dock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 18, 145
"c:\Users\ashis\edwise\frontend\components\magicui\dot-pattern.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 42, 9, 159
"c:\Users\ashis\edwise\frontend\components\magicui\iphone-15-pro.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 4, 110
"c:\Users\ashis\edwise\frontend\components\magicui\retro-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 23, 5, 70
"c:\Users\ashis\edwise\frontend\components\magicui\safari.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 4, 185
"c:\Users\ashis\edwise\frontend\components\mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\ashis\edwise\frontend\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 6, 10, 164
"c:\Users\ashis\edwise\frontend\components\onboarding-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 2, 10, 137
"c:\Users\ashis\edwise\frontend\components\progress-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 6, 15, 210
"c:\Users\ashis\edwise\frontend\components\recorded-lectures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 13, 24, 360
"c:\Users\ashis\edwise\frontend\components\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 3, 7, 83
"c:\Users\ashis\edwise\frontend\components\signup-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 309, 0, 0, 10, 21, 340
"c:\Users\ashis\edwise\frontend\components\student-dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 5, 11, 173
"c:\Users\ashis\edwise\frontend\components\teacher-chat-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 4, 13, 208
"c:\Users\ashis\edwise\frontend\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ashis\edwise\frontend\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\ashis\edwise\frontend\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 15, 142
"c:\Users\ashis\edwise\frontend\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\ashis\edwise\frontend\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\ashis\edwise\frontend\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\Users\ashis\edwise\frontend\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\ashis\edwise\frontend\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"c:\Users\ashis\edwise\frontend\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\ashis\edwise\frontend\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 6, 67
"c:\Users\ashis\edwise\frontend\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\ashis\edwise\frontend\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 31, 263
"c:\Users\ashis\edwise\frontend\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 327, 0, 0, 2, 37, 366
"c:\Users\ashis\edwise\frontend\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\ashis\edwise\frontend\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 12
"c:\Users\ashis\edwise\frontend\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 18, 154
"c:\Users\ashis\edwise\frontend\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"c:\Users\ashis\edwise\frontend\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"c:\Users\ashis\edwise\frontend\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 14, 119
"c:\Users\ashis\edwise\frontend\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 19, 182
"c:\Users\ashis\edwise\frontend\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 26, 179
"c:\Users\ashis\edwise\frontend\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\ashis\edwise\frontend\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"c:\Users\ashis\edwise\frontend\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\ashis\edwise\frontend\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\ashis\edwise\frontend\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 20, 237
"c:\Users\ashis\edwise\frontend\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
"c:\Users\ashis\edwise\frontend\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\ashis\edwise\frontend\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\ashis\edwise\frontend\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\ashis\edwise\frontend\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\ashis\edwise\frontend\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\ashis\edwise\frontend\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 41
"c:\Users\ashis\edwise\frontend\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"c:\Users\ashis\edwise\frontend\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\ashis\edwise\frontend\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"c:\Users\ashis\edwise\frontend\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 697, 0, 0, 12, 55, 764
"c:\Users\ashis\edwise\frontend\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\ashis\edwise\frontend\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\ashis\edwise\frontend\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
